"allS";"sdAllS";"allI";"sdAllI";"allR";"sdAllR"
"1";100;0;0;0;0;0
"2";100;0;0;0;0;0
"3";99.21875;0;0.78125;0;0;0
"4";96.875;2.68128680504736;3.125;2.72996590011478;0;0.240463676269958
"5";82.03125;13.1801858107447;17.1875;13.2495267417964;0;0.382312878851244
"6";53.90625;20.8621776404213;45.3125;20.3116697072208;0.78125;1.17802661707039
"7";25;9.84393854827316;69.53125;8.00498441271024;4.6875;2.12489384194759
"8";14.0625;4.64581550917043;75;3.30323669602348;10.9375;2.49067385093375
"9";8.59375;2.6964196890051;74.21875;2.76181278828933;16.40625;3.47747227361236
"10";6.25;2.40463676269958;71.09375;3.25534539185146;22.65625;3.73768231625191
"11";5.46875;2.32002489935469;65.625;4.68635768244923;28.90625;4.68445320084806
"12";4.6875;1.97154146295014;60.9375;5.37394324832187;34.375;5.36895952913026
"13";3.90625;1.84239282490785;57.03125;5.35198017082495;39.0625;5.33427768846002
"14";3.125;1.86358152054017;51.5625;4.31355994368832;44.53125;4.78248070675944
"15";3.125;1.79430077175008;49.21875;4.68292905790847;47.65625;5.10520151521611
"16";3.125;1.73873613680618;45.3125;4.57380701079559;51.5625;4.97704663814838
"17";3.125;1.76724190765181;41.40625;4.05949408023956;55.46875;4.40445066118665
"18";3.125;1.79131441610729;38.28125;4.62541116593405;58.59375;4.70460147964063
"19";3.125;1.79231042086376;35.15625;4.83739384412892;61.71875;4.74915290903922
"20";2.34375;1.81014479465914;32.8125;4.10365595940829;64.84375;4.27115090282727
"21";2.34375;1.81014479465914;29.6875;4.43352859000666;67.1875;4.72541923942248
"22";2.34375;1.81014479465914;27.34375;4.27156872145413;69.53125;4.72277480265816
"23";2.34375;1.81014479465914;25;4.51054897804395;71.875;4.80407551343052
"24";2.34375;1.81014479465914;23.4375;4.29157617857253;73.4375;4.62618277510881
"25";2.34375;1.81014479465914;21.09375;4.0792292188276;75.78125;4.46441624704738
"26";2.34375;1.81014479465914;19.53125;4.34899526589003;77.34375;4.69738844912352
"27";2.34375;1.81014479465914;17.96875;3.88058086490279;78.90625;4.17394170259035
"28";2.34375;1.81014479465914;16.40625;3.54204961164985;80.46875;3.85659226067931
"29";2.34375;1.81014479465914;14.84375;3.09746642364595;82.03125;3.51676699288378
"30";2.34375;1.81014479465914;14.0625;2.85334718194551;82.8125;3.29295548552943
"31";2.34375;1.81014479465914;12.5;2.96138282566297;84.375;3.46719299521701
"32";2.34375;1.81014479465914;11.71875;3.09112210441461;85.15625;3.50405727659535
"33";2.34375;1.81014479465914;10.9375;2.94991040539434;86.71875;3.28372922211419
"34";2.34375;1.81014479465914;9.375;2.75857995001836;87.5;3.06561353395153
"35";2.34375;1.81014479465914;8.59375;2.77277624468152;88.28125;3.09112210441461
"36";2.34375;1.81014479465914;8.59375;2.67115058705024;88.28125;2.92865935906643
"37";2.34375;1.81014479465914;7.03125;2.71028312069021;89.84375;2.99494064274768
