"allS";"sdAllS";"allI";"sdAllI";"allR";"sdAllR"
"1";100;0;0;0;0;0
"2";100;0;0;0;0;0
"3";99.21875;0;0.78125;0;0;0
"4";97.65625;1.69844464937003;2.34375;1.70552251577316;0;0.174692810742171
"5";89.84375;10.166050433402;10.15625;10.1669193704888;0;0.174692810742171
"6";73.4375;21.5181776545406;26.5625;21.3812942794815;0;0.408709659203591
"7";53.90625;28.9282177817005;45.3125;28.432026430649;0;0.844480677772783
"8";39.0625;28.3052009932612;59.375;27.3965362200122;0.78125;1.34363524601809
"9";28.90625;26.9936468372165;68.75;25.6908802920593;2.34375;2.05764730159548
"10";22.65625;26.7858678674717;73.4375;25.288223413697;3.125;2.27947783995849
"11";18.75;27.189886654167;75.78125;25.2992409128992;4.6875;2.64479680578952
"12";16.40625;26.2461815831821;76.5625;23.8826960849521;6.25;2.87776075971085
"13";14.0625;23.9090112246951;77.34375;20.9384128704177;8.59375;3.68275090035682
"14";10.9375;21.764988584983;78.125;18.8242089588814;10.15625;4.22981462038963
"15";9.375;21.3722778352805;78.90625;18.5751164372634;11.71875;4.68475796993208
"16";8.59375;21.4398087409539;78.125;18.4418204126268;13.28125;4.74200764583503
"17";7.8125;21.5069782413908;77.34375;18.333986504949;14.0625;5.01766897604107
"18";7.8125;21.6266966625066;75.78125;18.0585837216564;16.40625;4.94755596561522
"19";7.03125;21.5867402839226;75;17.6669448280092;17.1875;5.17664427698048
"20";6.25;20.5788146664393;74.21875;16.2523621606771;18.75;5.2821489327604
"21";6.25;18.8880522876993;72.65625;14.4262062621328;20.3125;5.59304244275398
"22";4.6875;13.1840848775479;72.65625;8.60644994607777;21.875;5.96317057184469
"23";3.125;5.70957075363722;73.4375;3.67838693283232;23.4375;6.07061651468951
"24";2.34375;3.68950484917317;72.65625;4.12834885743094;25;6.27257436342821
"25";1.5625;2.61087403758427;71.09375;5.00869797522993;26.5625;6.21843902125121
"26";1.5625;2.61087403758427;70.3125;4.77760842359204;27.34375;6.06995501851613
"27";1.5625;2.38989658235291;68.75;4.79991305088463;28.90625;5.7694581021759
"28";1.5625;2.38989658235291;67.96875;4.55736998679568;30.46875;5.58485192570693
"29";1.5625;2.41097398133022;66.40625;4.53617444526352;31.25;5.5913191204383
"30";1.5625;2.21660327486111;65.625;5.0210289690356;32.8125;5.87634603666247
"31";1.5625;2.21660327486111;64.0625;5.04146050397679;34.375;6.02959971115904
"32";1.5625;2.0634934559137;62.5;5.55847448218294;35.9375;6.25757661647221
"33";1.5625;2.0634934559137;61.71875;5.26387260001395;36.71875;5.96330524602228
"34";1.5625;2.0634934559137;60.15625;4.88137314311614;37.5;5.51204665309729
"35";1.5625;2.02142105759915;59.375;4.41578149748746;39.0625;5.00629229892111
"36";1.5625;1.96133144370664;57.8125;4.52908722205337;39.84375;4.96634955256771
"37";1.5625;1.96133144370664;57.03125;4.42595444843316;41.40625;4.8510066080165
