"allS";"sdAllS";"allI";"sdAllI";"allR";"sdAllR"
"1";100;0;0;0;0;0
"2";100;0;0;0;0;0
"3";99.21875;0;0.78125;0;0;0
"4";97.65625;1.99381947474235;2.34375;2.07900283200707;0;0.240463676269958
"5";86.71875;11.5074045333498;13.28125;11.3031386457251;0;0.428374125432278
"6";59.375;20.1140082617757;39.84375;19.1287676274414;0.78125;1.52894943560406
"7";39.84375;20.8201647259744;55.46875;18.8960221551627;3.90625;2.80085928418038
"8";30.46875;19.7294882419907;60.9375;17.0064950024447;7.8125;3.7919869134582
"9";25.78125;19.1620538726745;60.9375;15.7511882632534;13.28125;5.05775751448877
"10";21.875;15.3129585098753;59.375;11.1205216990696;17.96875;5.86473406886701
"11";18.75;8.50345274813154;57.8125;5.84633966683428;23.4375;6.307183258933
"12";16.40625;5.26470716603665;56.25;6.02659996968844;27.34375;6.3231334455038
"13";14.84375;4.4437223358947;53.125;6.82774441906873;31.25;6.33306222813715
"14";14.0625;4.33948624318356;50.78125;6.48263065659146;35.15625;5.02749791587402
"15";13.28125;4.57901423054454;47.65625;7.43093970435139;38.28125;5.1891497199615
"16";13.28125;4.42753385827556;44.53125;6.46213716254277;42.1875;4.38589184585037
"17";12.5;4.51496891930833;42.1875;7.03153367256381;45.3125;5.22973543895271
"18";12.5;4.4428245235134;39.0625;6.29467920062384;48.4375;4.65783265586483
"19";12.5;4.33028363237393;35.9375;6.00720712807334;51.5625;4.56439834544743
"20";11.71875;4.41309424751141;32.8125;5.82463489460352;54.6875;4.86887819759152
"21";11.71875;4.29420501568189;30.46875;5.69792198757682;57.8125;4.83743724731722
"22";11.71875;4.30881159167076;28.125;4.98786600834442;59.375;4.7427049486321
"23";11.71875;4.32475266645634;25.78125;4.89889610081046;61.71875;4.7427049486321
"24";11.71875;4.26974968318122;24.21875;4.75949779553758;64.0625;4.63723217090794
"25";11.71875;4.32290743856799;22.65625;4.99086430505157;65.625;4.94690875957209
"26";11.71875;4.25852332803961;21.09375;4.43563548235796;67.1875;4.3337369014565
"27";11.71875;4.29420501568189;19.53125;4.30626480723997;68.75;4.13302132806046
"28";10.9375;4.27278507830287;18.75;3.8739473190639;69.53125;3.99485897219421
"29";10.9375;4.28746462856272;17.1875;3.55385553944747;71.09375;4.28374125432278
"30";10.9375;4.28746462856272;15.625;3.40011421196579;73.4375;4.20289094307856
"31";10.9375;4.28746462856272;14.0625;3.32537730057455;74.21875;4.14266216534446
"32";10.9375;4.42144789820531;13.28125;3.1428209184049;75.78125;4.14675273392511
"33";10.9375;4.43473603279333;11.71875;2.95742756173063;76.5625;4.12650102975514
"34";10.9375;4.43473603279333;10.9375;2.61028692579328;77.34375;3.99760415125903
"35";10.9375;4.47168813952826;10.15625;2.85970507086312;78.125;4.15348135892014
"36";10.9375;4.43563548235796;9.375;2.67258469867832;78.90625;4.22395701113347
"37";10.9375;4.45560127085501;8.59375;2.67817627609716;80.46875;4.27278507830287
