"allS";"sdAllS";"allI";"sdAllI";"allR";"sdAllR"
"1";100;0;0;0;0;0
"2";100;0;0;0;0;0
"3";99.21875;0;0.78125;0;0;0
"4";97.65625;1.89849587710765;2.34375;1.88448464593283;0;0.174692810742171
"5";91.40625;7.8177408408338;8.59375;7.73179947814416;0;0.320618235026611
"6";75;17.8841238762637;23.4375;16.9785822536923;0.78125;1.1746130294333
"7";54.6875;23.6958079358682;42.1875;21.3495319839426;3.125;3.21093800022406
"8";37.5;21.4817208288753;53.90625;17.2322980777224;7.8125;5.36257361009471
"9";25.78125;15.8008200049538;60.9375;11.2113279032978;13.28125;7.12158707502094
"10";17.96875;9.22265193961813;61.71875;6.40183577058586;20.3125;7.92679551717165
"11";13.28125;5.63424404896429;59.375;6.15678848165947;27.34375;8.05184360529183
"12";10.9375;4.34168471348575;55.46875;6.15209083387831;32.8125;7.54858509419759
"13";10.15625;3.9136443172707;51.5625;6.81313749431548;37.5;7.39813985222139
"14";8.59375;3.5347615138371;47.65625;6.37669691682763;42.96875;6.50327184702307
"15";7.8125;3.54406442956686;42.96875;5.68136959951699;48.4375;5.26768539846837
"16";7.8125;3.37673376215736;38.28125;5.14552313238616;53.125;4.61062928964649
"17";7.8125;3.5531169715921;35.15625;4.95971512862103;57.03125;4.68664328793948
"18";7.03125;3.57991293527896;32.03125;4.50918373687099;60.15625;4.76498458811778
"19";7.03125;3.68275090035682;28.90625;4.19109478459042;64.0625;4.418690444771
"20";7.03125;3.65802609526659;25.78125;4.61219667202596;66.40625;4.91155193535112
"21";7.03125;3.65802609526659;23.4375;4.80593259166812;69.53125;5.03301063301801
"22";7.03125;3.57474954266214;20.3125;4.45038292769566;71.875;4.45903635807095
"23";7.03125;3.57474954266214;18.75;4.52713629057278;73.4375;4.65241806292565
"24";7.03125;3.57991293527896;17.1875;3.73278497861128;75.78125;3.83236037185138
"25";7.03125;3.57991293527896;15.625;3.20091788529293;77.34375;3.24006896145746
"26";7.03125;3.61140542969515;14.0625;3.05087877965104;78.125;3.39948892915403
"27";7.03125;3.61140542969515;12.5;2.95051532909708;79.6875;3.5890988207898
"28";7.03125;3.61140542969515;11.71875;2.74053582268044;81.25;3.74159557111176
"29";7.03125;3.61140542969515;10.15625;2.71344195989832;82.03125;3.72179635285238
"30";7.03125;3.61140542969515;9.375;2.82566136514859;83.59375;4.00191251307866
"31";7.03125;3.61140542969515;8.59375;2.62314901845593;84.375;3.90295914010666
"32";7.03125;3.61140542969515;7.03125;2.50250439937964;85.15625;3.78067055967015
"33";7.03125;3.61140542969515;7.03125;2.21551608280281;85.9375;3.78003324268312
"34";7.03125;3.61140542969515;6.25;2.28510792655834;86.71875;3.87134902017627
"35";7.03125;3.61140542969515;5.46875;2.19365909243341;87.5;3.83487421952862
"36";7.03125;3.61140542969515;4.6875;2.20825445696607;87.5;3.75017132284085
"37";7.03125;3.61140542969515;3.90625;2.09746270883825;88.28125;3.54383781973706
